NAME,CLASS,SAMPLE,IS,chemsc,C,db,MASS,ERROR,ISpmol,INT:C059.mzML,INT:C079.mzML,INT:C080.mzML,INT:C081.mzML,INT:C083.mzML,INT:C084.mzML,INT:C103.mzML,INT:C105.mzML,INT:C123.mzML,INT:C135.mzML,INT:C137.mzML,INT:C141.mzML,INT:C145.mzML,INT:C149.mzML,INT:C155.mzML,INT:C176.mzML
,,,,,,,,,,,,,,,,,,,,,,,,,
###,Car,,,,,,,,,,,,,,,,,,,,,,,,
Car(14:1),CARN,1,0,H40 C21 O4 N1 ,14,1,370.2949,-0.82 ppm,46,0,0,0,0,0,0,8981,16582.8,2463.4,9646.4,3936.4,1315.8,2519.9,2327.2,3303,5789.2
Car(14:0),CARN,1,0,H42 C21 O4 N1 ,14,0,372.3105,-0.89 ppm,46,0,0,0,0,0,0,11790.2,24969.5,5151.9,12842.1,7290.6,2796.7,5806.9,5502.8,11020.3,6835
Car(16:1),CARN,1,0,H44 C23 O4 N1 ,16,1,398.3262,-0.76 ppm,46,0,0,0,0,0,0,5064.3,15007.5,2152,8500,3326,1240.3,3184.6,2669.7,2232.6,4138.3
Car(16:0),CARN,1,0,H46 C23 O4 N1 ,16,0,400.343,2.19 ppm,46,0,0,0,0,0,0,10541.4,58892.2,13324.6,38355.2,15711.3,5976,31343.3,10475.3,13451.7,13549
Car(18:1),CARN,1,0,H48 C25 O4 N1 ,18,1,426.358,0.54 ppm,46,0,0,0,0,0,0,5243.7,13724.7,2978,16905.3,5028.7,2832.7,5767,6138.4,2914.5,7878
Car(18:0),CARN,1,0,H50 C25 O4 N1 ,18,0,428.3739,1.13 ppm,46,0,0,0,0,0,0,3454,6777.8,3612.2,8817.9,3908.4,3363.4,4291.7,7819.4,4341.9,4538.5
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
###,CarIS,,,,,,,,,,,,,,,,,,,,,,,,
Car(15:0),CARN,0,1,H44 C22 O4 N1 ,15,0,386.3262,-0.84 ppm,46,0,0,0,0,0,0,2043203.5,2490229.5,2931512.5,2536408,2387327.4,1686915.4,2477245.3,2899290,2155713.7,2527348.5
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
###,CarOH,,,,,,,,,,,,,,,,,,,,,,,,
Car-OH(14:1),CarOH,1,0,H40 C21 O5 N1 ,14,1,386.2899,-0.48 ppm,46,0,0,0,0,0,0,2043203.5,2490229.5,2931512.5,2536408,2387327.4,1686915.4,2477245.3,2899290,2155713.7,2527348.5
Car-OH(14:0),CarOH,1,0,H42 C21 O5 N1 ,14,0,388.3052,-1.29 ppm,46,0,0,0,0,0,0,44382.1,59458.1,66730.2,60550,57548.6,42096.1,53732.9,64534.6,47646.9,52092.2
Car-OH(16:1),CarOH,1,0,H44 C23 O5 N1 ,16,1,414.3218,0.89 ppm,46,0,0,0,0,0,0,8354.2,7497.2,12031.3,9903.2,5851.9,5851.1,7016.2,7083.7,6022,6353.1
Car-OH(16:0),CarOH,1,0,H46 C23 O5 N1 ,16,0,416.3372,0.45 ppm,46,0,0,0,0,0,0,2566.9,5149.4,2047.8,4586.4,1903.9,1718.2,1450.8,2175.1,1081.7,1543.2
Car-OH(18:1),CarOH,1,0,H48 C25 O5 N1 ,18,1,442.3527,0.11 ppm,46,0,0,0,0,0,0,1631.4,2773.1,1294.3,3090.6,1356,915.4,1065.5,1495.4,0,1158.3
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
###,CarOHIS,,,,,,,,,,,,,,,,,,,,,,,,
Car(15:0) b,CarOH,0,1,H44 C22 O4 N1 ,15,0,386.3262,-0.84 ppm,46,0,0,0,0,0,0,2043203.5,2490229.5,2931512.5,2536408,2387327.4,1686915.4,2477245.3,2899290,2155713.7,2527348.5
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
###,CE,,,,,,,,,,,,,,,,,,,,,,,,
CE(14:0),CHES,1,0,H76 C41 O2 N1 ,14,0,614.5868,-0.47 ppm,111.6,3482.9,5405.7,3224.8,3223.1,5122.3,5735.6,12302.9,23601.1,6485.8,14551.5,69071.7,14650.6,25839.1,10907.2,17771,9238.9
CE(16:2),CHES,1,0,H76 C43 O2 N1 ,16,2,638.5871,0.06 ppm,111.6,1484.5,1965.3,0,0,1306.7,1355.4,2126.9,4311.5,1226.6,1325,11574.6,3001.8,3731.2,2417,4444.5,2231.6
CE(16:1),CHES,1,0,H78 C43 O2 N1 ,16,1,640.6029,0.36 ppm,111.6,37914.8,61038.2,24052.7,30729.8,47575.5,77292.9,62075.6,229237.3,27220.4,105033.6,442100.2,73326.7,133971.1,51790,106263,103030.4
CE(16:0),CHES,1,0,H80 C43 O2 N1 ,16,0,642.6184,0.14 ppm,111.6,40948.3,86151.4,27509.2,1560334.1,60952.3,69716,97584.8,369087.5,37803.2,169222.9,727968.3,90248.8,255521,90381.9,174262.6,142101
CE(18:3),CHES,1,0,H78 C45 O2 N1 ,18,3,664.602,-1.01 ppm,111.6,7475.3,12270.2,4817.3,3259.2,11647.1,10585.5,10223.3,12241.9,4409,15846.2,82857.2,7931.7,22633.4,9461,14979.6,13473
CE(18:2),CHES,1,0,H80 C45 O2 N1 ,18,2,666.6181,-0.46 ppm,111.6,52211.5,99338.8,42048,34804.3,99512,98842.2,88811.6,191723.6,43051.7,186654.6,720152.8,101974.3,236647.9,116769,153555.1,136597.8
CE(18:1),CHES,1,0,H82 C45 O2 N1 ,18,1,668.6338,-0.38 ppm,111.6,161824.8,267185,105359,164901,259533.6,356149.8,238967.1,1497166.6,120531.1,811245.1,1758113.8,248652.4,671958.6,224559.9,435726,530888
CE(18:0),CHES,1,0,H84 C45 O2 N1 ,18,0,670.65,0.53 ppm,111.6,10011.5,19732.1,7498.2,8731.4,14684.5,17440.4,22067.6,89058.3,8416.2,52988.1,172110.8,21402.5,65886.2,20962.4,47674.4,30077.8
CE(20:4),CHES,1,0,H80 C47 O2 N1 ,20,4,690.6169,-2.18 ppm,111.6,60829.9,99688,55835.9,54748.8,176588.8,141685.6,59924.7,411413.9,97487,162371.6,638114,62329.5,212519.1,59485.3,163119,149480.2
CE(20:3),CHES,1,0,H82 C47 O2 N1 ,20,3,692.633,-1.43 ppm,111.6,18915.3,25063.3,17490.3,24729.2,51363.8,55971.5,14742.2,215606.3,51132.8,94473.7,158255.2,14857.4,73806.3,13468.1,48181.5,74849.8
