"KEGG_ID"	"ENTREZID"	"SYMBOL"	"PATHWAY"
"1"	"hsa00010"	"10327"	"AKR1A1"	"Glycolysis / Gluconeogenesis"
"2"	"hsa00010"	"124"	"ADH1A"	"Glycolysis / Gluconeogenesis"
"3"	"hsa00010"	"125"	"ADH1B"	"Glycolysis / Gluconeogenesis"
"4"	"hsa00010"	"126"	"ADH1C"	"Glycolysis / Gluconeogenesis"
"5"	"hsa00010"	"127"	"ADH4"	"Glycolysis / Gluconeogenesis"
"6"	"hsa00010"	"128"	"ADH5"	"Glycolysis / Gluconeogenesis"
"7"	"hsa00010"	"130"	"ADH6"	"Glycolysis / Gluconeogenesis"
"8"	"hsa00010"	"130589"	"GALM"	"Glycolysis / Gluconeogenesis"
"9"	"hsa00010"	"131"	"ADH7"	"Glycolysis / Gluconeogenesis"
"10"	"hsa00010"	"160287"	"LDHAL6A"	"Glycolysis / Gluconeogenesis"
"11"	"hsa00010"	"1737"	"DLAT"	"Glycolysis / Gluconeogenesis"
"12"	"hsa00010"	"1738"	"DLD"	"Glycolysis / Gluconeogenesis"
"13"	"hsa00010"	"2023"	"ENO1"	"Glycolysis / Gluconeogenesis"
"14"	"hsa00010"	"2026"	"ENO2"	"Glycolysis / Gluconeogenesis"
"15"	"hsa00010"	"2027"	"ENO3"	"Glycolysis / Gluconeogenesis"
"16"	"hsa00010"	"217"	"ALDH2"	"Glycolysis / Gluconeogenesis"
"17"	"hsa00010"	"218"	"ALDH3A1"	"Glycolysis / Gluconeogenesis"
"18"	"hsa00010"	"219"	"ALDH1B1"	"Glycolysis / Gluconeogenesis"
"19"	"hsa00010"	"220"	"ALDH1A3"	"Glycolysis / Gluconeogenesis"
"20"	"hsa00010"	"2203"	"FBP1"	"Glycolysis / Gluconeogenesis"
"21"	"hsa00010"	"221"	"ALDH3B1"	"Glycolysis / Gluconeogenesis"
"22"	"hsa00010"	"222"	"ALDH3B2"	"Glycolysis / Gluconeogenesis"
"23"	"hsa00010"	"223"	"ALDH9A1"	"Glycolysis / Gluconeogenesis"
"24"	"hsa00010"	"224"	"ALDH3A2"	"Glycolysis / Gluconeogenesis"
"25"	"hsa00010"	"226"	"ALDOA"	"Glycolysis / Gluconeogenesis"
"26"	"hsa00010"	"229"	"ALDOB"	"Glycolysis / Gluconeogenesis"
"27"	"hsa00010"	"230"	"ALDOC"	"Glycolysis / Gluconeogenesis"
"28"	"hsa00010"	"2538"	"G6PC"	"Glycolysis / Gluconeogenesis"
"29"	"hsa00010"	"2597"	"GAPDH"	"Glycolysis / Gluconeogenesis"
"30"	"hsa00010"	"26330"	"GAPDHS"	"Glycolysis / Gluconeogenesis"
"31"	"hsa00010"	"2645"	"GCK"	"Glycolysis / Gluconeogenesis"
