"KEGG_ID"	"ENTREZID"	"SYMBOL"	"PATHWAY"
"1"	"mmu00010"	"100042025"	"Gapdh-ps15"	"Glycolysis / Gluconeogenesis"
"2"	"mmu00010"	"103988"	"Gck"	"Glycolysis / Gluconeogenesis"
"3"	"mmu00010"	"106557"	"Ldhal6b"	"Glycolysis / Gluconeogenesis"
"4"	"mmu00010"	"110695"	"Aldh7a1"	"Glycolysis / Gluconeogenesis"
"5"	"mmu00010"	"11522"	"Adh1"	"Glycolysis / Gluconeogenesis"
"6"	"mmu00010"	"11529"	"Adh7"	"Glycolysis / Gluconeogenesis"
"7"	"mmu00010"	"11532"	"Adh5"	"Glycolysis / Gluconeogenesis"
"8"	"mmu00010"	"11669"	"Aldh2"	"Glycolysis / Gluconeogenesis"
"9"	"mmu00010"	"11670"	"Aldh3a1"	"Glycolysis / Gluconeogenesis"
"10"	"mmu00010"	"11671"	"Aldh3a2"	"Glycolysis / Gluconeogenesis"
"11"	"mmu00010"	"11674"	"Aldoa"	"Glycolysis / Gluconeogenesis"
"12"	"mmu00010"	"11676"	"Aldoc"	"Glycolysis / Gluconeogenesis"
"13"	"mmu00010"	"12183"	"Bpgm"	"Glycolysis / Gluconeogenesis"
"14"	"mmu00010"	"13382"	"Dld"	"Glycolysis / Gluconeogenesis"
"15"	"mmu00010"	"13806"	"Eno1"	"Glycolysis / Gluconeogenesis"
"16"	"mmu00010"	"13807"	"Eno2"	"Glycolysis / Gluconeogenesis"
"17"	"mmu00010"	"13808"	"Eno3"	"Glycolysis / Gluconeogenesis"
"18"	"mmu00010"	"14120"	"Fbp2"	"Glycolysis / Gluconeogenesis"
"19"	"mmu00010"	"14121"	"Fbp1"	"Glycolysis / Gluconeogenesis"
"20"	"mmu00010"	"14377"	"G6pc"	"Glycolysis / Gluconeogenesis"
"21"	"mmu00010"	"14378"	"G6pc2"	"Glycolysis / Gluconeogenesis"
"22"	"mmu00010"	"14433"	"Gapdh"	"Glycolysis / Gluconeogenesis"
"23"	"mmu00010"	"14447"	"Gapdhs"	"Glycolysis / Gluconeogenesis"
"24"	"mmu00010"	"14751"	"Gpi1"	"Glycolysis / Gluconeogenesis"
"25"	"mmu00010"	"15275"	"Hk1"	"Glycolysis / Gluconeogenesis"
"26"	"mmu00010"	"15277"	"Hk2"	"Glycolysis / Gluconeogenesis"
"27"	"mmu00010"	"16828"	"Ldha"	"Glycolysis / Gluconeogenesis"
"28"	"mmu00010"	"16832"	"Ldhb"	"Glycolysis / Gluconeogenesis"
"29"	"mmu00010"	"16833"	"Ldhc"	"Glycolysis / Gluconeogenesis"
"30"	"mmu00010"	"17330"	"Minpp1"	"Glycolysis / Gluconeogenesis"
"31"	"mmu00010"	"18534"	"Pck1"	"Glycolysis / Gluconeogenesis"
"32"	"mmu00010"	"18597"	"Pdha1"	"Glycolysis / Gluconeogenesis"
"33"	"mmu00010"	"18598"	"Pdha2"	"Glycolysis / Gluconeogenesis"
"34"	"mmu00010"	"18641"	"Pfkl"	"Glycolysis / Gluconeogenesis"
"35"	"mmu00010"	"18642"	"Pfkm"	"Glycolysis / Gluconeogenesis"
"36"	"mmu00010"	"18648"	"Pgam1"	"Glycolysis / Gluconeogenesis"
"37"	"mmu00010"	"18655"	"Pgk1"	"Glycolysis / Gluconeogenesis"
"38"	"mmu00010"	"18663"	"Pgk2"	"Glycolysis / Gluconeogenesis"
"39"	"mmu00010"	"18746"	"Pkm"	"Glycolysis / Gluconeogenesis"
"40"	"mmu00010"	"18770"	"Pklr"	"Glycolysis / Gluconeogenesis"
"41"	"mmu00010"	"212032"	"Hk3"	"Glycolysis / Gluconeogenesis"
"42"	"mmu00010"	"216019"	"Hkdc1"	"Glycolysis / Gluconeogenesis"
"43"	"mmu00010"	"21991"	"Tpi1"	"Glycolysis / Gluconeogenesis"
"44"	"mmu00010"	"226265"	"Eno4"	"Glycolysis / Gluconeogenesis"
"45"	"mmu00010"	"230163"	"Aldob"	"Glycolysis / Gluconeogenesis"
"46"	"mmu00010"	"235339"	"Dlat"	"Glycolysis / Gluconeogenesis"
